no,title,options
24,Quantity,Much less__Moderately less__Slightly less__About the same__Slightly more__Moderately more__Much more
25,Expectations,Far short of expectations__Short of expectations__Equals expectations__Exceeds expectations__Far exceeds expectations
26,Ideals,Not close to the ideal__Slightly close to the ideal__Moderately close to the ideal__Very close to the ideal__Extremely close to the ideal
27,Never-Always,Never__Sometimes__About half the time__Most of the time__Always
28,None-All,None at all__A little__A moderate amount__A lot__A great deal
29,Too little-Too much,Far too little__Moderately too little__Slightly too little__Neither too much nor too little__Slightly too much__Moderately too much__Far too much
30,Lower-Higher,Much lower__Moderately lower__Slightly lower__About the same__Slightly higher__Moderately higher__Much higher
31,Worst-Best,One of the worst__Below average__Average__Above average__One of the best
32,Poor-Excellent,Terrible__Poor__Average__Good__Excellent
33,Chance,Definitely will not__Probably will not__Might or might not__Probably will__Definitely will
34,Weak-Strong,Much weaker__Moderately weaker__Slightly weaker__No change__Slightly stronger__Moderately stronger__Much stronger
35,Clear-Unclear,Extremely unclear__Moderately unclear__Slightly unclear__Neither clear nor unclear__Slightly clear__Moderately clear__Extremely clear
36,Reasonable-Unreasonable,Extremely unreasonable__Moderately unreasonable__Slightly unreasonable__Neither reasonable nor unreasonable__Slightly reasonable__Moderately reasonable__Extremely reasonable
37,Comfortable-Uncomfortable,Extremely uncomfortable__Moderately uncomfortable__Slightly uncomfortable__Neither comfortable nor uncomfortable__Slightly comfortable__Moderately comfortable__Extremely comfortable
38,Positive-Negative,Extremely negative__Moderately negative__Slightly negative__Neither positive nor negative__Slightly positive__Moderately positive__Extremely positive
39,Competent-Incompetent,Extremely incompetent__Moderately incompetent__Slightly incompetent__Neither competent nor incompetent__Slightly competent__Moderately competent__Extremely competent
40,Unprofessional-Professional,Extremely unprofessional__Moderately unprofessional__Slightly unprofessional__Neither professional nor unprofessional__Slightly professional__Moderately professional__Extremely professional
41,Adequate-Inadequate,Extremely inadequate__Moderately inadequate__Slightly inadequate__Neither adequate nor inadequate__Slightly adequate__Moderately adequate__Extremely adequate
42,Interesting,Not interesting at all__Slightly interesting__Moderately interesting__Very interesting__Extremely interesting
43,Challenging,Not challenging at all__Slightly challenging__Moderately challenging__Very challenging__Extremely challenging
44,How Well,Not well at all__Slightly well__Moderately well__Very well__Extremely well
45,How Accurately,Not accurately at all__Slightly accurately__Moderately accurately__Very accurately__Extremely accurately
46,Knowledgeable,Not knowledgeable at all__Slightly knowledgeable__Moderately knowledgeable__Very knowledgeable__Extremely knowledgeable
47,Familiar,Not familiar at all__Slightly familiar__Moderately familiar__Very familiar__Extremely familiar
48,Ethnicity,Use Our Ethnicity List
49,Marital Status,Married__Widowed__Divorced__Separated__Never married
50,Income BIrr,Use Our Birr Range
51,Age,Under 18__18 - 24__25 - 34__35 - 44__45 - 54__55 - 64__65 - 74__75 - 84__85 or older
52,Employment,Employed full time__Employed part time__Unemployed looking for work__Unemployed not looking for work__Retired__Student__Disabled
53,Education,Less than high school__High school graduate__Some college__2 year degree__4 year degree__Professional degree__Doctorate
54,Intent to stay,"6 months or less__Over 6 months, up to 1 year__Over 1 year, up to 3 years__Over 3 years, up to 5 years__Over 5 years"
